192,VICI 200GR SELD FILE KUS.CARSKAYA,3.75₼,et-toyuq-deniz-mehsullari/deniz-mehsullari
193,VICI 200GR SELD FILE KUS.ORIQINALNAYA V MASLE,3.75₼,et-toyuq-deniz-mehsullari/deniz-mehsullari
194,VICI 240GR KRABOVIE PALOCKI,3.40₼,et-toyuq-deniz-mehsullari/deniz-mehsullari
195,VICI 240GR SELD FILE TRADIC. V MASLE,4.75₼,et-toyuq-deniz-mehsullari/deniz-mehsullari
196,VICI 240GR SELD FILE V KARTOSKE,4.75₼,et-toyuq-deniz-mehsullari/deniz-mehsullari
197,VICI 250GR SNEJNIY KRAB KRABOVIE PALOCKI,6.10₼,et-toyuq-deniz-mehsullari/deniz-mehsullari
198,VICI 400GR FAVORIT KOKTEYL V RASSOLE PL/Q,12.05₼,et-toyuq-deniz-mehsullari/deniz-mehsullari
199,VICI 500GR KRABOVIE PALOCKI,6.80₼,et-toyuq-deniz-mehsullari/deniz-mehsullari
200,VICI 500GR KREVETKA BASLI 30/40 KOROLEVSKIE,18.20₼,et-toyuq-deniz-mehsullari/deniz-mehsullari
201,VICI 500GR KREVETKA TEM-NMIS QUYRUQLU 31/40 KOROL.,27.85₼,et-toyuq-deniz-mehsullari/deniz-mehsullari
202,DONDURMA ALGIDA 100ML CIYELEK-VANIL PL/Q,1.10₼,qastronom/dondurma
203,DONDURMA ALGIDA 100ML KAKAO-VANIL PL/Q,1.10₼,qastronom/dondurma
204,DONDURMA ALGIDA 140ML CORNETTO DISC VANIL-KARAMEL,2.70₼,qastronom/dondurma
205,DONDURMA ALGIDA 750ML KEYIF KAKAO-VANIL PL/Q,5.10₼,qastronom/dondurma
206,DONDURMA CARTE DOR 925ML CLASSIC ANTEP FISTIK-BIT.,12.10₼,qastronom/dondurma
207,DONDURMA CARTE DOR 925ML CLASSIC CIKOLATA TUTKUNL.,12.10₼,qastronom/dondurma
208,DONDURMA CELNI XOLOD 110GR QOST ROJOK PLOMBIR SOKO,3.40₼,qastronom/dondurma
209,DONDURMA CELNI XOLOD 75GR PLOMBIR NA SLIVKAX STAKA,2.20₼,qastronom/dondurma
210,DONDURMA CELNI XOLOD 80GR QOST PLOMBIR SOKOLADLI,2.30₼,qastronom/dondurma
211,DONDURMA DELISSIMO 500GR SOKOLADLI PLOMBIR,5.40₼,qastronom/dondurma
212,DONDURMA DELISSIMO 500GR VANILLI PLOMBIR,5.40₼,qastronom/dondurma
213,DONDURMA ICELAND 500GR MALIK VANILLI PLOMBIR,3.90₼,qastronom/dondurma
214,DONDURMA ICELAND 500GR PLOMBIR VANILLI 15%,5.20₼,qastronom/dondurma
215,DONDURMA ICELAND 600GR SEVGI PLOMBIR VANILLI PL/Q,7.40₼,qastronom/dondurma
216,DONDURMA ICELAND 70GR BAKILI QIZ PLOMBIR QEHVELI,0.60₼,qastronom/dondurma
217,DONDURMA ICELAND 70GR BAKILI QIZ PLOMBIR VANILLI,0.60₼,qastronom/dondurma
218,DONDURMA ICELAND 75GR OSCAR PLOMBIR FINDIQLI,0.92₼,qastronom/dondurma
219,DONDURMA ICELAND 75GR OSCAR QEHVELI PLOMBIR,0.92₼,qastronom/dondurma
220,DONDURMA ICELAND 75GR OSCAR VANIL PLOMBIR,0.92₼,qastronom/dondurma
221,DONDURMA ICELAND 80GR PLOMBIR VANILLI 15% ESKIMO,1.04₼,qastronom/dondurma
222,DONDURMA ICELAND 80GR PLOMBIR VANILLI 15% STEKAN,0.80₼,qastronom/dondurma
223,DONDURMA LONDON DAIRY 100ML SORBETS MANGO QUTU,5.10₼,qastronom/dondurma
224,DONDURMA LONDON DAIRY 100ML SORBETS RASPBERRY,5.10₼,qastronom/dondurma
225,DONDURMA LONDON DAIRY 110ML ALMOND QUTU,5.10₼,qastronom/dondurma
226,DONDURMA LONDON DAIRY 110ML BELGIAN CHOCOLATE QUTU,5.10₼,qastronom/dondurma
227,DONDURMA LONDON DAIRY 110ML BUTTER PECAN QUTU,5.10₼,qastronom/dondurma
228,DONDURMA LONDON DAIRY 110ML HAZELNUT QUTU,5.10₼,qastronom/dondurma
229,DONDURMA LONDON DAIRY 125ML CARAMEL CRUNCH PL/Q,4.70₼,qastronom/dondurma
230,DONDURMA LONDON DAIRY 125ML DOUBLE CHOCOLATE PL/Q,4.70₼,qastronom/dondurma
231,DONDURMA LONDON DAIRY 125ML PRALINES&CREAM PL/Q,4.70₼,qastronom/dondurma
232,DONDURMA LONDON DAIRY 125ML VANILLA PL/Q,4.70₼,qastronom/dondurma
233,DONDURMA MAGNUM 100ML ESKIMO BADAMLI ALMOND,4.00₼,qastronom/dondurma
234,DONDURMA MAGNUM 6x57.5ML MINI CLASSIC,14.00₼,qastronom/dondurma
235,DONDURMA MAGNUM 6x57.5ML MINI COOKIE&BADEM,14.00₼,qastronom/dondurma
236,DONDURMA NESTLE 130ML OREO SENDVIC S KUS.PECENYA,2.85₼,qastronom/dondurma
237,DONDURMA NESTLE 90ML ALPEN GOLD ESKIMO S MOL.SOK.,2.85₼,qastronom/dondurma
238,DONDURMA NESTLE 90ML MILKA VANIL-MOLOCNIY SOKOLAD,3.00₼,qastronom/dondurma
239,DONDURMA SNICKERS 65GR ESKIMO SUDLU,2.70₼,qastronom/dondurma
240,DONDURMA XLADOKOMBINAT 450GR QOST.PLOMBIR SOKOLAD,12.00₼,qastronom/dondurma
241,DONDURMA XLADOKOMBINAT 450GR QOST.PLOMBIR VANIL PL,12.00₼,qastronom/dondurma
242,DONDURMA XLADOKOMBINAT 60GR QOSTOVSKIY PLOMBIR,1.92₼,qastronom/dondurma
243,DONDURMA XLADOKOMBINAT 70GR QOST.PLOMBIR VANIL ESK,2.16₼,qastronom/dondurma
244,DONDURMA XLADOKOMBINAT 80GR QOST.PLOMBIR 12%,2.88₼,qastronom/dondurma
245,DONDURMA XLADOKOMBINAT 90GR QOSTOVSKIY PLOMBIR SOK,2.16₼,qastronom/dondurma
246,DONDURMA XLADOKOMBINAT 90GR QOSTOVSKIY PLOMBIR VAN,2.16₼,qastronom/dondurma
248,BUJANINA S.D.HINDI TOYUGUN DOS ETI H/V VAKUM KG,18.40₼,qastronom/kolbasa-sosisler
249,CARICINO 100GR KOLBASA C/H/V SERVELAT PREMIUM,5.44₼,qastronom/kolbasa-sosisler
250,CARICINO 275GR SOSISKI MOLOCNIYE PO-CARICINSKI,5.99₼,qastronom/kolbasa-sosisler
251,CARICINO 300GR KOLBASA S/K SERVELAT BRAUNSVEYSKAYA,16.89₼,qastronom/kolbasa-sosisler
252,CARICINO 330GR KOLBASA SERVELAT FINSKIY VAKUUM,12.89₼,qastronom/kolbasa-sosisler
253,CARICINO 330GR KOLBASA SERVELAT ROSSIYSKIY VAKUUM,9.89₼,qastronom/kolbasa-sosisler
254,CARICINO 400GR KOLBASA SERVELAT RUSSKIY,15.89₼,qastronom/kolbasa-sosisler
255,CARICINO 440GR SOSISKI MOLOCNIYE PO-CARICINO,9.89₼,qastronom/kolbasa-sosisler
256,CARICINO 500GR KOLBASA QOST DOKTORSKAYA,12.89₼,qastronom/kolbasa-sosisler
257,CARICINO 500GR KOLBASA QOST MOLOCNAYA,12.89₼,qastronom/kolbasa-sosisler
258,CARICINO 500GR KOLBASA QOST RUSSKAYA,12.89₼,qastronom/kolbasa-sosisler
259,CARICINO 500GR KOLBASA S NAT.MOLOKOM DOKTORSKAYA,7.99₼,qastronom/kolbasa-sosisler
260,CARICINO 500GR KOLBASA S NAT.MOLOKOM RUSSKAYA,9.89₼,qastronom/kolbasa-sosisler
261,CERKIZ 250GR SERVELAT FINSKIY S MOROSKOY PL/Q,6.49₼,qastronom/kolbasa-sosisler
262,CERKIZ 250GR SOSISKI MOLOCNIYE PO-CERKIZOVSKI,5.99₼,qastronom/kolbasa-sosisler
263,CERKIZ 300GR KOLBASA S/K BORODINSKAYA,14.99₼,qastronom/kolbasa-sosisler
264,CERKIZ 450GR SOSISKI MOLOCNIYE PO-CERKIZOVSKI,7.69₼,qastronom/kolbasa-sosisler
265,CERKIZ 500GR KOLBASA DOKTORSKAYA V SETKE,7.59₼,qastronom/kolbasa-sosisler
266,CERKIZ 500GR KOLBASA RUSSKAYA V SETKE,7.59₼,qastronom/kolbasa-sosisler
